TransID,CustID,TransTotal,TransNumItems,TransDesc
2264,227,52.75,10,Cut talk cup marriage.
2265,75,22.64,14,Individual together.
2266,99,47.55,4,Generation walk through.
2275,25,62.19,10,Participant meeting.
2298,4,24.44,13,Difference poor example.
2308,144,28.46,9,Safe will record argue.
2310,195,87.59,10,Teacher defense section.
2318,41,69.66,4,Available sea discover.
2321,82,66.67,1,Sometimes something seem.
2322,84,66.71,8,Usually put condition.
2350,217,78.11,15,Owner southern national.
2431,21,35.72,12,So strategy performance.
2453,205,66.47,8,Campaign weight east.
2490,70,62.45,4,Probably indicate forget.
2554,3,19.28,7,Whose religious policy.
2555,78,65.03,15,Want central new exist.
2565,113,70.38,1,College charge adult.
2595,212,92.85,2,Ago camera computer.
2599,136,65.65,5,Weight international turn travel.
2616,102,99.07,3,Environment time discussion.
2642,58,85.68,7,Professional probably.
2650,145,38.28,3,Change recognize news board.
2666,59,21.74,1,Call southern medical short.
2682,189,51.66,13,Home sure executive job.
2717,21,52.72,15,Clearly fear physical.
2754,234,56.65,6,Save care size player.
2780,185,36.76,13,Personal establish situation.
2890,75,60.31,11,Professor high hear yourself.
2899,244,43.74,1,Owner focus risk candidate.
2907,145,88.37,9,Today treatment condition.
2922,142,58.21,11,Sense commercial movement.
2924,10,93.93,13,Million large answer.
2928,101,48.32,13,Accept their hospital.
2931,17,89.86,10,Consumer sport author.
2933,125,24.23,12,Know member maintain.
2965,218,72.09,1,Training language sort.
2966,219,32.31,5,Country information add.
2967,238,10.02,8,Her conference statement.
2978,202,70.43,15,Song close thousand few.
2986,96,69.5,8,Town hundred reveal.
2989,229,97.63,2,Lose point traditional audience.
2995,207,13.88,11,Southern beautiful him.
3042,6,42.28,5,Stuff no discussion.
3047,103,31.03,10,Because around admit.
3065,120,78.34,5,Art among heavy quickly.
3068,24,30.48,3,Meeting among individual.
3081,63,21.33,13,Major imagine economy space.
3090,144,57.12,8,System debate evidence.
3126,110,95.39,6,Tend never bit green.
3136,153,71.52,2,Table money imagine.
3226,245,58.31,15,Surface enjoy western.
3270,193,94.12,7,Attack write loss able.
3271,34,11.14,8,Hand white put central.
3305,42,32.0,2,Act international thousand.
3324,77,34.11,3,Agent politics capital.
3330,219,84.55,12,Commercial although.
3399,39,83.23,1,Left trouble knowledge.
3423,37,93.63,3,Beautiful scene ability.
3427,197,28.36,6,Interesting main act.
3437,204,88.46,12,Manager investment score.
3440,85,45.65,10,Condition save matter.
3452,101,14.48,1,Stage continue star.
3476,239,16.62,4,Draw story analysis.
3503,10,82.4,4,Major fill recent see.
3516,75,87.49,2,For clear professional.
3554,104,20.52,9,Yourself eat mention could.
3574,147,15.61,4,Grow near himself rise.
3631,221,97.31,8,Learn note building.
3636,24,82.87,1,Concern experience hour.
3655,146,52.51,5,Help nature ball event.
3667,96,25.17,6,His police the nearly.
3701,45,97.6,8,Difference leader perform themselves.
3709,86,69.62,13,Establish another list.
3732,6,97.85,1,Congress fill someone star.
3755,189,19.89,11,Kitchen give lawyer.
3767,40,51.21,15,Agent operation above.
3776,223,94.22,7,Magazine detail direction.
3814,2,31.24,3,Responsibility see staff.
3819,236,36.11,12,Window game contain.
3833,214,62.49,3,Begin shoulder control.
3840,239,82.6,12,Direction house long.
3850,240,93.9,4,Either against require or.
3866,246,90.28,4,Surface myself environment.
3915,211,16.11,6,Federal thus full movement.
3919,87,69.58,13,Story information near.
3936,230,90.72,1,Tend especially few.
3946,218,60.72,2,Pattern development.
3991,130,95.57,14,Doctor ball bit beautiful.
3999,19,37.89,3,Change quality sense.
4012,104,68.02,4,Available box rule hotel.
4021,202,40.77,13,Though friend however.
4027,93,39.52,6,Nearly national something.
4035,244,88.48,10,Reality military with.
4039,222,42.17,3,Service those event.
4058,47,62.17,10,Person control strong.
4131,22,80.03,6,Head always similar.
4159,225,88.41,3,Operation allow trip.
4201,241,75.06,3,Easy no trial probably.
4213,237,68.24,3,Specific significant compare.
4260,196,90.47,1,Forward pattern say.
4306,32,44.06,14,Trial animal recognize.
4311,167,12.46,15,Bit worry good worker.
4349,111,15.44,1,During effect message modern.
4360,151,70.66,12,Human natural might.
4363,130,94.48,8,College scene outside main.
4375,127,69.07,2,Three environment present.
4376,143,20.88,4,College care option.
4385,4,73.85,5,Arrive discover forward.
4388,150,59.62,2,Want opportunity traditional.
4401,128,85.42,10,No chance investment.
4448,238,32.95,3,And notice organization.
4481,109,60.99,8,Both challenge south.
4483,113,33.11,9,Republican study reflect put.
4524,186,15.67,7,Individual relate resource.
4571,155,67.49,3,Popular career this.
4618,12,72.56,7,Bring dog executive.
4691,29,39.66,4,Main forward democratic.
4699,31,32.3,2,Prepare church church.
4712,25,79.39,4,Himself when customer.
4747,96,56.51,10,Question blood outside.
4778,32,15.74,10,Word important next.
4798,95,22.43,2,Something hear behavior top.
4802,249,12.04,3,Conference senior heart after.
4810,11,75.33,2,Laugh dinner various.
4812,174,39.26,8,Even Republican plan.
4829,18,80.69,6,Those white contain.
4840,111,87.45,7,Production act Mr interest.
4897,184,34.29,12,Evidence enough herself.
4913,164,48.25,10,Such million begin economic.
4924,57,50.82,7,Really treat life material.
4927,83,26.02,3,Institution quality ever front.
4938,201,73.58,1,Right husband reveal.
4941,62,21.18,13,Alone computer natural.
4962,227,59.08,10,Hospital traditional.
4963,32,12.18,8,Government director.
5005,179,30.31,3,Manager line maintain.
5007,32,81.87,4,Growth meet matter improve.
5029,155,91.34,3,Tough successful quite.
5053,88,26.99,11,Exist defense fight.
5123,4,69.68,11,Another high section.
5145,119,16.78,5,Dog professional long.
5150,16,58.93,15,Draw evening ground.
5178,44,12.83,6,Scientist give peace.
5247,170,39.67,10,Likely day marriage.
5270,48,71.45,9,Strategy fight pattern.
5275,215,56.8,6,World information mother.
5289,8,55.88,4,Whom involve decide.
5340,62,30.22,5,Sit social bag land.
5367,27,47.25,4,Toward before cold machine.
5372,7,75.01,13,Remain well approach.
5450,177,81.75,11,Contain moment thought.
5474,42,30.55,6,Finally analysis else.
5487,39,44.9,2,Discover executive force.
5490,34,65.28,6,Significant walk former.
5495,55,93.66,10,Matter prevent offer.
5538,46,44.04,12,Environmental rest they.
5553,104,51.66,12,Religious fear blue.
5555,15,20.71,15,Of fill believe relationship.
5595,166,96.46,13,Social positive medical.
5622,155,54.72,5,International traditional.
5644,224,29.73,3,Nearly sister assume.
5652,56,11.08,15,Day special nothing.
5678,8,72.15,11,Usually buy inside sport.
5688,240,86.85,3,Toward attention stop upon.
5709,14,16.62,4,Sister relate style.
5741,136,70.27,4,Continue us audience wind.
5751,50,29.19,14,Section administration.
5772,202,67.7,1,Movie green drive act.
5775,147,43.75,15,International push when indeed.
5829,101,49.75,12,Financial picture yeah.
5851,180,24.16,6,Floor shoulder week.
5877,67,95.28,6,Paper character would.
5888,237,53.0,7,Relationship bed religious.
5893,235,17.15,3,Interview almost poor.
5908,212,79.88,5,Chair around challenge.
5924,248,88.64,5,Lead cold now among.
5929,34,24.57,13,Teacher reason chance.
5947,74,37.84,14,Allow study property hold.
5951,13,80.54,5,Culture raise recent.
5954,121,33.88,9,Morning including unit.
5967,247,34.53,13,Discussion family glass.
6002,142,57.97,11,Quickly during hear.
6018,232,29.25,9,Much relationship conference.
6042,221,38.94,15,Evidence continue long.
6043,84,12.97,4,Read try start player.
6045,5,46.17,9,Like boy beat during.
6049,156,19.61,9,Education everything author.
6053,0,56.05,14,Throughout customer.
6061,158,99.01,1,Hold form over child.
6067,62,90.85,1,Public since prevent.
6079,249,46.16,11,Physical alone letter.
6096,247,12.25,15,Measure economic born international.
6136,60,23.62,8,Including just trouble.
6158,92,39.94,7,National strategy else.
6186,198,46.39,14,Discover serve serious.
6192,220,68.32,12,Music technology within.
6241,140,39.7,12,Order different approach.
6244,8,39.31,11,Prove risk large station.
6253,120,49.65,13,Seat effort account.
6262,18,18.78,15,Serious evidence apply whose.
6284,23,16.25,1,Research factor thousand visit.
6337,177,70.12,5,Minute explain hair.
6342,66,21.99,13,Fine officer question TV.
6387,240,75.47,10,Over language especially my.
6418,208,15.55,12,Best car meeting perhaps.
6421,43,98.74,1,Prevent money relationship.
6448,137,63.04,10,Authority more area.
6476,58,62.63,10,Second thought might.
6499,126,92.48,8,Watch certain eight.
6535,201,36.76,12,Image field real out.
6561,2,39.3,6,Other interest spend.
6585,112,49.35,2,System environmental you.
6604,167,34.06,1,Quality much star challenge.
6611,204,74.68,13,Plan hundred actually.
6633,28,32.08,9,Service walk require.
6644,54,54.28,7,Sign recently student.
6663,217,53.6,11,Although worker institution for.
6670,113,69.18,7,Your maintain daughter.
6732,242,70.08,14,Indeed again international.
6743,142,75.86,3,No something maintain.
6744,215,43.32,10,Evidence Congress give glass.
6753,230,21.68,3,Town experience sit.
6758,152,46.95,2,Interesting executive.
6774,173,42.37,4,Cause professor politics shoulder.
6815,103,29.59,1,Employee participant hear size.
6846,225,18.58,8,Activity four seven.
6848,239,15.53,10,Whole American they know.
6854,216,23.39,4,Well yourself statement.
6860,24,35.34,8,Prevent response represent.
6870,117,90.23,5,Administration say fire.
6874,155,10.17,5,Indeed few property.
6945,37,46.0,4,Painting character some.
6976,30,31.79,4,Television free voice.
6977,150,97.17,2,Determine traditional visit.
7011,108,70.66,1,Security bank country.
7018,174,18.69,8,Trade theory understand college.
7084,7,17.52,14,Ten would world seven.
7094,122,66.27,13,Believe watch financial.
7095,113,16.86,9,You table phone office.
7097,204,78.76,10,Door course themselves.
7125,109,78.42,12,Charge stand door past.
7127,80,38.27,5,Give miss case condition.
7140,4,18.13,2,Physical statement guy.
7197,222,93.37,2,West member technology government.
7198,115,49.56,4,Area increase staff.
7203,44,99.99,12,Industry wonder size.
7217,134,36.23,6,Sit time read always.
7218,234,94.05,4,Generation much have.
7236,39,91.33,2,Report lawyer owner.
7269,214,56.57,7,Its little beautiful.
7298,134,55.48,3,Method late perform.
7299,245,43.62,8,Character suffer form peace.
7311,206,62.84,14,Simple scene choose.
7312,125,24.02,7,Recent which feeling save.
7360,75,59.23,13,Film political everything four.
7363,208,53.08,7,Many only often floor.
7383,99,57.69,8,Someone affect himself.
7411,191,68.84,12,Visit especially help.
7433,75,63.53,3,Already show remember.
7449,155,99.51,4,Garden position throw.
7500,178,47.55,6,Mother move at market.
7507,36,48.0,14,Try total determine.
7515,167,64.79,11,West already security.
7583,62,56.01,13,President learn fall.
7611,172,60.89,11,Number evening save understand.
7619,149,77.44,13,Production future scene.
7630,55,85.02,5,Itself activity leader.
7632,102,30.74,5,Summer thought store hotel.
7711,56,20.14,14,Page computer theory college.
7716,1,16.83,11,Back hospital hotel.
7761,57,54.92,4,Represent painting show.
7771,147,37.34,14,Science choose people.
7775,196,51.5,13,Teach training page.
7777,188,11.32,7,Most establish data.
7786,228,96.03,7,Husband worker security.
7852,79,14.89,8,Degree garden southern sound.
7863,113,35.57,12,Do woman future thus.
7872,32,62.74,10,Discuss career American.
7926,30,53.14,7,Computer officer left.
7952,117,58.21,4,Nearly score market.
7962,113,33.38,4,Paper tend American.
7984,34,57.81,6,Feel administration.
8010,163,33.92,15,Rest authority line.
8029,222,92.95,6,Upon least challenge.
8030,221,65.89,9,Paper require lawyer.
8045,53,18.56,14,Beautiful management development.
8061,215,25.87,8,Lose physical usually.
8124,39,55.66,4,Popular likely life.
8135,36,51.37,7,Growth often entire.
8150,184,85.06,1,Parent page recognize.
8216,136,59.03,1,Table natural budget.
8228,109,88.36,14,While available smile.
8250,50,49.43,3,Population place cell.
8310,162,19.68,6,Prove night product.
8418,156,78.09,4,Include recently white official.
8424,69,26.93,13,Six audience likely.
8437,38,15.81,4,Method trade remember.
8445,215,27.98,9,President stand else.
8456,233,27.58,2,May Mr inside traditional.
8499,122,64.15,5,Much soon look pull.
8515,16,96.93,5,Attorney one world series.
8587,207,84.27,12,Condition company mind investment.
8594,62,27.27,13,Event rise brother key.
8602,186,73.9,12,Total painting become.
8611,115,67.28,12,Hard information player.
8630,94,24.57,10,Our risk on despite.
8640,119,87.47,5,Involve feel society.
8650,44,80.11,3,Resource environmental.
8685,221,26.43,10,Mean activity community.
8713,83,10.1,6,Stop wind treatment check.
8734,245,76.25,3,Threat best environmental moment.
8813,119,67.52,10,Role necessary address.
8834,157,41.49,6,Night rich oil change.
8837,95,43.38,11,Among hundred behavior.
8840,59,17.18,3,Understand fine life.
8857,26,43.21,15,Begin every purpose.
8889,195,91.69,1,Tough past live early.
8928,23,44.37,15,Discover particular.
8943,0,32.13,10,Seat glass indicate voice.
8965,67,35.46,13,Agent let character.
8970,148,56.35,14,Different respond along.
8974,52,80.2,15,However star culture.
8988,97,28.15,5,Development might address.
8992,157,40.69,9,Example arrive recognize.
9009,126,25.57,9,Common organization.
9022,53,93.05,15,Almost building teacher.
9027,128,46.76,7,Section police certainly.
9069,70,26.13,4,Down same force increase.
9079,100,91.4,15,Energy building ago.
9105,213,54.53,8,Yourself another stuff.
9122,123,47.3,6,Such newspaper kind.
9153,141,45.13,13,Event finally conference.
9179,25,48.4,8,Executive present teach.
9257,42,65.52,2,Reflect relationship wrong.
9275,37,93.18,9,Condition performance.
9285,102,83.64,12,Factor should behavior.
9291,165,40.78,5,Campaign too number.
9299,244,31.44,5,Measure positive put.
9305,203,16.86,3,Manager south rich leader.
9315,21,18.48,6,Night station ever manager.
9332,179,63.38,1,Argue blood relationship full.
9364,99,48.87,6,Suffer writer mention.
9403,203,74.64,9,Society adult court possible.
9434,204,69.43,9,Step foot behind car.
9438,46,93.67,12,Significant recent something.
9456,109,26.6,4,Attention significant.
9458,129,23.19,1,Relationship change glass.
9485,164,30.83,1,Floor lead analysis.
9492,117,23.86,6,Summer yourself imagine.
9502,215,17.46,5,Outside floor professor.
9536,165,95.59,3,Decide bill coach candidate.
9619,209,66.39,12,Painting maintain when.
9631,208,80.83,8,Physical administration property central.
9635,231,52.43,12,Writer measure station.
9653,199,11.54,7,You already improve.
9670,53,86.15,13,Of pretty third listen.
9683,8,33.94,3,Art community enter.
9700,144,80.28,7,Expect name treatment.
9712,37,42.35,1,Standard husband notice.
9723,39,35.1,2,Upon produce goal travel.
9739,7,69.52,2,Despite national edge.
9784,136,72.82,3,Evening serve notice.
9789,104,22.74,2,Agree describe course several.
9805,79,29.32,6,Responsibility article.
9809,171,14.43,5,Throughout animal moment history.
9810,115,86.72,6,Wonder challenge culture.
9811,106,12.71,12,Factor machine region.
9832,18,18.57,7,Economic prepare offer.
9854,119,17.82,2,Ten thought three time.
9923,84,57.47,15,Kitchen thus north throughout.
9958,212,67.82,4,Professional time message.
10002,185,54.75,3,Whose however remember claim.
10017,116,33.58,12,Past responsibility happen.
10055,107,31.36,8,Kind approach people.
10078,141,64.66,6,Book attention child.
10084,91,22.08,14,Network region blue.
10113,129,23.92,13,It field speech camera.
10147,58,23.99,15,Company movement film.
10213,196,96.0,3,Participant decision cause.
10244,161,62.57,7,Writer debate community.
10272,44,86.96,4,All since according.
10284,28,14.86,6,Particular coach can.
10285,57,59.53,2,Knowledge bed structure.
10305,104,36.15,10,Serve across can mission.
10315,113,17.17,12,Already building soldier.
10328,6,12.61,4,Who their interview north.
10352,43,88.43,8,Important cover common.
10361,23,79.63,14,Call against common.
10365,92,65.87,3,Design middle pay treat.
10371,20,33.79,11,Among thank western.
10398,234,19.55,9,Sister sound quickly.
10465,234,16.49,6,Health certain over.
10481,119,66.16,7,Pay write college cold.
10519,39,98.47,2,Head director item choice.
10548,196,82.74,5,Program explain easy.
10556,233,55.06,12,Design approach computer.
10564,166,86.97,2,Top television beyond.
10587,70,73.23,7,Conference majority.
10643,73,29.12,12,Behavior environmental us.
10717,248,71.64,4,System write subject.
10721,118,55.19,6,Realize investment save point.
10750,200,57.61,4,Administration ever.
10758,4,74.76,12,Trade professor draw.
10770,77,19.69,2,Reach policy thought.
10778,234,71.78,4,Safe politics small.
10790,206,64.33,5,Travel many clear threat.
10795,7,27.64,1,Would tend address wrong.
10809,115,52.74,13,Decide debate practice heart.
10817,242,48.33,5,Rise natural pull sure.
10821,118,77.51,12,Audience anyone toward.
10834,247,33.84,7,Question commercial start.
10848,113,35.39,9,Parent class contain.
10875,245,84.66,15,Word clear activity.
10900,212,71.28,3,Response could building.
10913,120,29.16,13,Crime discussion popular.
10921,42,82.8,13,Energy early former.
10948,61,30.12,15,Traditional rock computer.
10972,26,80.34,13,Radio score economic.
10978,229,77.72,12,Hope fall president.
10979,114,32.17,4,Team only community.
11019,186,69.41,6,Challenge imagine laugh.
11023,196,83.28,11,Building ever company.
11045,55,72.31,3,Artist north newspaper environment.
11094,90,96.36,14,Receive medical structure.
11112,109,11.38,5,Thing medical different.
11137,226,72.02,3,No might pick similar.
11146,95,82.0,6,Both chance campaign.
11216,90,69.38,7,Actually plan attack.
11256,75,99.16,2,Change form available.
11263,212,77.35,9,Central development area.
11298,167,40.83,1,Natural training pass.
11335,167,78.59,14,Campaign near collection difficult.
11338,56,17.55,14,Increase surface account.
11339,31,40.3,7,Improve fight myself.
11352,119,66.7,1,Season somebody general class.
11396,217,32.08,5,Stop goal reason air.
11443,221,64.86,2,Industry reduce society.
11446,247,10.44,5,Throughout field federal.
11486,16,79.52,13,Physical southern consumer.
11512,165,21.06,12,Letter hotel article.
11519,241,74.75,8,Station pressure white reason.
11520,134,24.51,4,Everything computer.
11526,134,95.37,15,Understand director.
11552,111,99.39,13,Physical listen never.
11595,206,31.15,5,Position while memory.
11611,227,92.88,9,Cup seat democratic.
11621,166,85.15,3,Executive recognize.
11624,56,52.45,10,While against music.
11628,62,68.41,10,Understand real determine.
11633,41,61.25,3,Support challenge thus.
11665,151,91.63,1,Officer teach become.
11711,202,51.43,5,Itself your somebody all.
11748,22,76.49,6,Technology garden job summer.
11753,12,75.63,12,Trial specific include.
11852,102,90.71,12,Continue century range.
11862,121,47.7,3,Whole lawyer against service.
11871,19,31.57,13,Past check morning involve.
11897,148,15.45,8,Inside truth difficult.
11918,146,58.85,12,Film service especially.
11922,129,75.23,6,Much citizen study oil.
11930,13,15.77,14,Husband opportunity.
11947,95,83.25,10,Lot it effort enjoy.
11968,94,23.35,5,Describe never lose.
11980,30,62.52,10,Increase maintain ground.
11999,111,66.06,8,Direction different cultural side.
12068,90,73.0,10,President energy local whom.
12071,131,78.93,13,Discuss community anyone.
12080,83,42.98,10,Everything check already.
12108,41,16.46,3,Board themselves leg pattern.
12194,98,68.98,13,Tonight plant third.
12204,19,89.04,11,Cost discuss agency.
12230,235,89.07,3,Themselves cultural.
12251,239,32.85,6,Memory middle building.
12264,25,61.56,7,Anything particularly.
12269,154,29.53,14,Physical building court everyone.
12294,229,42.14,9,Everyone without the.
12299,6,63.23,14,Program give minute computer.
12301,205,47.24,12,Coach ground and doctor.
12304,234,98.62,2,Sell player current.
12321,206,51.41,14,Source establish investment.
12322,101,13.87,1,Herself office city.
12390,70,53.11,13,Very source into wait.
12435,14,52.93,5,Government need significant federal.
12481,86,65.76,13,Dream approach local.
12506,31,54.06,14,Finally culture picture.
12507,65,58.47,3,Growth interest concern half.
12510,111,96.61,13,Industry too similar.
12554,89,23.03,3,Thank end situation.
12572,30,91.72,3,Traditional newspaper.
12573,97,12.82,8,Different newspaper.
12598,178,63.33,3,Market ago despite person.
12608,197,85.23,4,Government now crime.
12614,158,68.82,3,Either follow result.
12615,50,37.38,15,Including how space.
12648,247,76.69,9,Radio again surface.
12669,139,39.03,8,Move collection face.
12684,1,63.46,13,Respond stuff above.
12690,5,23.75,9,Ball large professor.
12706,109,97.51,8,Race food Republican.
12721,213,22.36,6,Defense even man maybe.
12738,6,38.45,12,Hard television option interview.
12780,149,84.47,3,Blue institution unit.
12785,210,49.44,2,Blue where form health.
12835,146,92.52,5,Environment challenge.
12864,158,33.93,8,Must chance whatever group.
12915,181,24.84,1,Scene identify these.
12926,3,96.76,1,Treatment central center.
12935,167,65.34,5,Discussion those actually.
12959,22,27.32,3,Industry whole home.
12966,105,99.7,2,Trouble where knowledge.
12981,66,60.9,13,Central vote remain.
12994,209,19.7,10,World including service.
12998,186,42.64,6,Single development four make.
13043,206,14.69,13,Candidate over let fear.
13058,47,79.58,2,Partner son candidate.
13064,3,25.53,1,Rich these later could.
13089,3,59.76,14,Floor case military.
13112,43,91.18,10,Population physical.
13121,81,15.23,5,Hour office difficult play.
13127,187,23.81,11,Brother modern strategy.
13142,65,65.1,15,Benefit situation option.
13145,152,88.69,1,Although trouble different.
13170,188,67.68,8,Particularly break remember.
13177,142,18.35,12,Matter player response.
13193,65,69.73,14,Although administration.
13220,117,73.99,5,Data source foreign.
13276,148,27.89,2,Major last pretty build.
13297,100,37.54,8,Interesting sometimes value.
13318,81,18.84,5,Available western structure.
13343,84,85.75,8,Cultural free similar almost.
13367,68,85.71,1,Nearly main discussion time.
13404,17,72.52,4,Fund structure memory.
13427,118,55.45,7,Possible suddenly beautiful.
13428,64,44.55,3,Hold former herself.
13460,1,70.04,2,Central trade entire.
13474,231,98.48,3,Public our wall sea.
13539,99,18.82,13,Note note although knowledge.
13577,86,30.24,4,Republican check natural notice.
13624,234,77.58,15,Price management each clear.
13644,40,32.7,15,Because always government.
13661,152,21.22,12,Personal if environment.
13679,3,91.36,2,Religious name white.
13699,167,93.28,13,Contain support relationship.
13701,191,38.66,5,Certainly case change.
13715,79,43.22,4,Computer stay throughout.
13744,106,35.79,8,Television type structure.
13773,136,28.4,10,Hit everything stock.
13826,57,65.7,15,Rich should security.
13844,53,50.37,3,I national Republican just.
13875,162,13.65,5,Seven campaign network.
13888,246,57.57,7,Politics order appear.
13898,213,37.83,2,Direction similar east.
13903,168,60.81,6,Opportunity technology whole.
13961,182,29.67,4,Member again determine.
13981,102,46.25,7,Conference me spend.
14003,221,70.09,2,Organization themselves.
14009,118,83.51,13,Better environment fast.
14050,103,61.41,9,Specific main American.
14066,105,99.82,4,Capital industry who near.
14113,234,56.79,5,Serious entire box yard.
14128,158,52.67,12,Newspaper author others last.
14170,110,59.66,7,Nation process throw.
14211,130,93.18,2,Person environment hit.
14212,68,42.0,4,Practice nor amount low.
14221,151,85.69,3,Whether someone charge.
14247,54,55.17,10,Heart before article.
14257,57,55.7,3,Quickly appear goal.
14337,200,41.47,12,World anything catch.
14376,5,97.55,12,Defense budget skill.
14420,152,80.11,14,Community commercial decade.
14478,197,83.5,2,Coach practice somebody question.
14489,107,49.23,2,Reach company common.
14520,194,29.52,2,Stuff attorney data.
14526,192,60.87,11,Product suggest point.
14529,27,13.0,15,Start economy whether as.
14555,106,62.58,8,College indeed require.
14560,96,41.99,9,Bag important parent.
14590,152,90.58,13,Control everything practice.
14592,150,34.47,5,Doctor federal prove.
14612,234,10.19,8,Several beautiful tonight.
14657,249,57.83,2,Cultural key there position.
14663,200,65.91,15,Weight various growth.
14674,55,76.34,9,Year size somebody choose.
14724,242,91.03,11,But pick country statement.
14738,155,80.08,1,Result east authority.
14739,186,79.38,6,Particular behavior option.
14741,140,46.17,12,Fast special around close.
14770,93,83.88,1,Card pretty mission art.
14776,108,83.28,5,Bill defense memory.
14803,69,16.77,3,Build attention clearly off.
14823,78,74.91,11,General picture challenge.
14859,131,41.29,7,The response short project.
14873,21,52.76,7,Recent movie sister.
14887,86,95.79,7,Character position remember.
14889,74,76.0,6,Expect Congress first again.
14892,166,45.15,3,Argue social society actually.
14894,16,83.97,10,Evidence yeah purpose white.
14902,74,93.52,4,Republican guy investment.
14907,158,29.92,15,Guess style beautiful.
14942,92,87.0,14,Hit southern must important.
14944,248,72.38,10,Difficult against moment.
14957,47,24.2,15,School pattern store.
14974,181,33.11,14,State morning interview.
15015,236,11.09,7,Ability economy still.
15020,65,24.81,2,Official create represent.
15025,224,83.17,2,Recent here everything.
